Frame_ID,User_ID,Model,R,D,Pred_Cost,Real_Cost,Param_a,Param_b,Param_c,Mode
27,2,bicycle,0.961439,0.978106,0.006691,0.006665,0.885259,-0.517973,0.610793,Slow
28,2,bicycle,0.978106,0.994772,0.006692,0.006517,0.884627,-0.517005,0.610407,Slow
29,2,bicycle,0.994772,1.011439,0.006691,0.006778,0.884995,-0.517561,0.610613,Slow
30,2,bicycle,1.011439,1.028106,0.006691,0.006689,0.884386,-0.516639,0.61028,Slow
31,2,bicycle,1.028106,1.044772,0.006691,0.006809,0.883232,-0.514883,0.609614,Slow
32,2,bicycle,1.044772,1.061439,0.006691,0.006536,0.883706,-0.51561,0.609906,Slow
33,2,bicycle,1.061439,1.078106,0.00669,0.006663,0.882573,-0.513883,0.609252,Slow
34,2,bicycle,1.078106,1.094772,0.00669,0.00667,0.881751,-0.51263,0.608773,Slow
35,2,bicycle,1.094772,1.111439,0.006691,0.006716,0.880803,-0.511181,0.60821,Slow
36,2,bicycle,1.111439,1.128106,0.006691,0.006568,0.880775,-0.511134,0.608185,Slow
37,2,bicycle,1.128106,1.144772,0.00669,0.00674,0.881718,-0.512571,0.608737,Slow
38,2,bicycle,1.144772,1.161439,0.00669,0.006866,0.880692,-0.511011,0.608148,Slow
39,2,bicycle,1.161439,1.178106,0.00669,0.006734,0.881607,-0.512403,0.608676,Slow
40,2,bicycle,1.178106,1.194772,0.00669,0.006699,0.882543,-0.513827,0.609211,Slow
41,2,bicycle,1.194772,1.211439,0.006691,0.006563,0.882316,-0.513474,0.609057,Slow
42,2,bicycle,1.211439,1.228106,0.006692,0.00662,0.882296,-0.51344,0.60903,Slow
43,2,bicycle,1.228106,1.244772,0.006692,0.006686,0.881289,-0.511904,0.608441,Slow
44,2,bicycle,1.244772,1.261439,0.006692,0.006643,0.88014,-0.510154,0.607773,Slow
45,2,bicycle,1.261439,1.278106,0.006692,0.006786,0.879156,-0.508654,0.607198,Slow
46,2,bicycle,1.278106,1.294772,0.006692,0.006741,0.879409,-0.509036,0.607342,Slow
47,2,bicycle,1.294772,1.311439,0.006692,0.00694,0.878919,-0.508287,0.607043,Slow
48,2,bicycle,1.311439,1.328106,0.006692,0.006601,0.87967,-0.509437,0.607497,Slow
49,2,bicycle,1.328106,1.344772,0.006692,0.006695,0.87863,-0.507854,0.6069,Slow
50,2,bicycle,1.344772,1.361439,0.006691,0.006564,0.878754,-0.508044,0.606982,Slow
51,2,bicycle,1.361439,1.378106,0.006691,0.006486,0.879852,-0.509716,0.607616,Slow
52,2,bicycle,1.378106,1.394772,0.006691,0.006758,0.878974,-0.508374,0.607098,Slow
53,2,bicycle,1.394772,1.411439,0.006692,0.006738,0.878869,-0.508208,0.607015,Slow
54,2,bicycle,1.411439,1.428106,0.006692,0.006613,0.879357,-0.508947,0.607287,Slow
55,2,bicycle,1.428106,1.444772,0.006692,0.0067,0.880014,-0.509953,0.607683,Slow
56,2,bicycle,1.444772,1.461439,0.006692,0.006634,0.880597,-0.510836,0.608002,Slow
57,2,bicycle,1.461439,1.478106,0.006692,0.006646,0.879978,-0.509898,0.607661,Slow
58,2,bicycle,1.478106,1.494772,0.006692,0.006662,0.879424,-0.509058,0.60735,Slow
59,2,bicycle,1.494772,1.511439,0.006691,0.006609,0.880241,-0.510308,0.607839,Slow
60,2,bicycle,1.511439,1.528106,0.006692,0.006626,0.879621,-0.509357,0.60746,Slow
61,2,bicycle,1.528106,1.544772,0.006692,0.006628,0.87983,-0.509671,0.607569,Slow
62,2,bicycle,1.544772,1.561439,0.006692,0.006731,0.879957,-0.509868,0.607649,Slow
63,2,bicycle,1.561439,1.578106,0.006692,0.006436,0.880971,-0.511414,0.608239,Slow
64,2,bicycle,1.578106,1.594772,0.006692,0.006671,0.880227,-0.510275,0.60779,Slow
65,2,bicycle,1.594772,1.611439,0.006693,0.006592,0.879145,-0.508627,0.607163,Slow
66,2,bicycle,1.611439,1.628106,0.006692,0.006595,0.879079,-0.508533,0.607146,Slow
67,2,bicycle,1.628106,1.644772,0.006692,0.006644,0.879239,-0.508779,0.607242,Slow
68,2,bicycle,1.644772,1.661439,0.006692,0.00669,0.878808,-0.508128,0.607013,Slow
69,2,bicycle,1.661439,1.678106,0.006691,0.006671,0.879372,-0.508994,0.607361,Slow
70,2,bicycle,1.678106,1.694772,0.006692,0.006594,0.879397,-0.50903,0.607364,Slow
71,2,bicycle,1.694772,1.711439,0.006692,0.006758,0.878241,-0.507269,0.606693,Slow
72,2,bicycle,1.711439,1.728106,0.006691,0.006608,0.878684,-0.507951,0.606973,Slow
73,2,bicycle,1.728106,1.744772,0.006691,0.006623,0.879102,-0.508595,0.607236,Slow
74,2,bicycle,1.744772,1.761439,0.006691,0.006717,0.878492,-0.507661,0.606864,Slow
75,2,bicycle,1.761439,1.778106,0.006691,0.006721,0.878852,-0.508204,0.607061,Slow
76,2,bicycle,1.778106,1.794772,0.006691,0.006635,0.877873,-0.506718,0.606505,Slow
77,2,bicycle,1.794772,1.811439,0.006691,0.006421,0.878859,-0.508219,0.607081,Slow
78,2,bicycle,1.811439,1.828106,0.006691,0.00661,0.878155,-0.507141,0.606653,Slow
79,2,bicycle,1.828106,1.844772,0.006692,0.006706,0.877457,-0.506073,0.606235,Slow
80,2,bicycle,1.844772,1.861439,0.006691,0.006754,0.876531,-0.50466,0.605698,Slow
81,2,bicycle,1.861439,1.878106,0.006692,0.006684,0.877543,-0.506199,0.606278,Slow
82,2,bicycle,1.878106,1.894772,0.006692,0.006648,0.877259,-0.50576,0.60609,Slow
83,2,bicycle,1.894772,1.911439,0.006692,0.006902,0.876718,-0.504933,0.605771,Slow
84,2,bicycle,1.911439,1.928106,0.006692,0.006658,0.877524,-0.506158,0.606233,Slow
85,2,bicycle,1.928106,1.944772,0.006691,0.006747,0.877431,-0.50602,0.606196,Slow
86,2,bicycle,1.944772,1.961439,0.006692,0.006569,0.876781,-0.505024,0.605802,Slow
87,2,bicycle,1.961439,1.978106,0.006692,0.006592,0.875755,-0.503458,0.605197,Slow
88,2,bicycle,1.978106,1.994772,0.006692,0.006751,0.875717,-0.503399,0.605177,Slow
89,2,bicycle,1.994772,2.011439,0.006692,0.006788,0.875464,-0.503009,0.605012,Slow
90,2,bicycle,2.011439,2.028106,0.006692,0.006657,0.874406,-0.501399,0.604401,Slow
91,2,bicycle,2.028106,2.044772,0.006692,0.006524,0.874239,-0.501139,0.604293,Slow
92,2,bicycle,2.044772,2.061439,0.006692,0.006676,0.87413,-0.500977,0.604245,Slow
93,2,bicycle,2.061439,2.078106,0.006692,0.00671,0.873479,-0.49998,0.603848,Slow
94,2,bicycle,2.078106,2.094772,0.006692,0.006701,0.874458,-0.501474,0.604426,Slow
95,2,bicycle,2.094772,2.111439,0.006692,0.00664,0.875069,-0.50241,0.604799,Slow
96,2,bicycle,2.111439,2.128106,0.006691,0.006677,0.875533,-0.503121,0.605084,Slow
97,2,bicycle,2.128106,2.144772,0.006691,0.006622,0.876549,-0.504668,0.605672,Slow
98,2,bicycle,2.144772,2.161439,0.006691,0.006589,0.876469,-0.504542,0.605616,Slow
99,2,bicycle,2.161439,2.178106,0.006691,0.00676,0.876894,-0.505192,0.605867,Slow
100,2,bicycle,2.178106,2.194772,0.006691,0.0067,0.877693,-0.506411,0.606333,Slow
101,2,bicycle,2.194772,2.211439,0.006691,0.006677,0.878008,-0.506889,0.606514,Slow
102,2,bicycle,2.211439,2.228106,0.006691,0.006644,0.878714,-0.50796,0.606909,Slow
103,2,bicycle,2.228106,2.244772,0.006691,0.006675,0.879563,-0.509254,0.607403,Slow
104,2,bicycle,2.244772,2.261439,0.006691,0.006706,0.880225,-0.510259,0.607774,Slow
105,2,bicycle,2.261439,2.278106,0.006692,0.006851,0.879908,-0.509769,0.607572,Slow
106,2,bicycle,2.278106,2.294772,0.006691,0.006752,0.879861,-0.509704,0.607561,Slow
107,2,bicycle,2.294772,2.311439,0.006691,0.00663,0.879443,-0.509064,0.607313,Slow
108,2,bicycle,2.311439,2.328106,0.006692,0.006631,0.878669,-0.507881,0.60685,Slow
109,2,bicycle,2.328106,2.344772,0.006692,0.006618,0.878186,-0.507142,0.606557,Slow
110,2,bicycle,2.344772,2.361439,0.006692,0.006673,0.878777,-0.508049,0.606919,Slow
111,2,bicycle,2.361439,2.378106,0.006692,0.006617,0.879285,-0.508817,0.607196,Slow
112,2,bicycle,2.378106,2.394772,0.006692,0.006736,0.879193,-0.508683,0.607157,Slow
113,2,bicycle,2.394772,2.411439,0.006692,0.006448,0.879845,-0.509673,0.607522,Slow
114,2,bicycle,2.411439,2.428106,0.006692,0.006741,0.879746,-0.509528,0.607485,Slow
115,2,bicycle,2.428106,2.444772,0.006691,0.006717,0.879378,-0.508972,0.607289,Slow
116,2,bicycle,2.444772,2.461439,0.006692,0.00681,0.885252,-0.517902,0.61064,Fast
117,2,bicycle,2.461439,2.478106,0.006691,0.006772,0.885667,-0.518522,0.610876,Fast
118,2,bicycle,2.478106,2.494772,0.006694,0.00663,0.883593,-0.515335,0.609568,Fast
119,2,bicycle,2.494772,2.511439,0.006694,0.006767,0.88923,-0.523913,0.612806,Fast
120,2,bicycle,2.511439,2.528106,0.006694,0.006679,0.887355,-0.521076,0.611763,Fast
121,2,bicycle,2.528106,2.544772,0.006692,0.006513,0.882551,-0.513773,0.609042,Fast
122,2,bicycle,2.544772,2.561439,0.006689,0.006703,0.884224,-0.516344,0.610109,Fast
123,2,bicycle,2.561439,2.578106,0.006688,0.00663,0.884772,-0.517208,0.610496,Fast
124,2,bicycle,2.578106,2.594772,0.006687,0.006687,0.883111,-0.514665,0.609525,Fast
125,2,bicycle,2.594772,2.611439,0.00669,0.006843,0.881322,-0.511907,0.608376,Fast
126,2,bicycle,2.611439,2.628106,0.00669,0.006711,0.885361,-0.518044,0.610683,Fast
127,2,bicycle,2.628106,2.644772,0.00669,0.006594,0.888637,-0.523015,0.612532,Fast
128,2,bicycle,2.644772,2.661439,0.006689,0.006779,0.885589,-0.518361,0.610754,Fast
129,2,bicycle,2.661439,2.678106,0.00669,0.006723,0.881531,-0.51219,0.608425,Fast
130,2,bicycle,2.678106,2.694772,0.00669,0.006584,0.885496,-0.518239,0.61073,Fast
131,2,bicycle,2.694772,2.711439,0.006692,0.006541,0.88694,-0.520413,0.611481,Fast
132,2,bicycle,2.711439,2.728106,0.006694,0.006602,0.884561,-0.516763,0.610028,Fast
133,2,bicycle,2.728106,2.744772,0.006696,0.006774,0.88432,-0.516373,0.609813,Fast
134,2,bicycle,2.744772,2.761439,0.006696,0.006668,0.885021,-0.517423,0.610173,Fast
135,2,bicycle,2.761439,2.778106,0.006694,0.006701,0.887463,-0.521157,0.611649,Fast
136,2,bicycle,2.778106,2.794772,0.006694,0.006569,0.882898,-0.514202,0.608998,Fast
137,2,bicycle,2.794772,2.811439,0.006697,0.006777,0.879504,-0.509013,0.606959,Fast
138,2,bicycle,2.811439,2.828106,0.006695,0.006506,0.882864,-0.514153,0.60898,Fast
139,2,bicycle,2.828106,2.844772,0.006697,0.006636,0.883669,-0.515363,0.609374,Fast
140,2,bicycle,2.844772,2.861439,0.006695,0.006735,0.886141,-0.519139,0.610857,Fast
141,2,bicycle,2.861439,2.878106,0.006695,0.00659,0.881509,-0.512075,0.608155,Fast
142,2,bicycle,2.878106,2.894772,0.006695,0.006753,0.883026,-0.514401,0.609072,Fast
143,2,bicycle,2.894772,2.911439,0.006692,0.006611,0.882366,-0.513405,0.608744,Fast
144,2,bicycle,2.911439,2.928106,0.006693,0.006577,0.886624,-0.519899,0.611217,Fast
145,2,bicycle,2.928106,2.944772,0.006693,0.006814,0.88764,-0.521464,0.611848,Fast
146,2,bicycle,2.944772,2.961439,0.00669,0.006705,0.886351,-0.519509,0.611156,Fast
147,2,bicycle,2.961439,2.978106,0.006692,0.006741,0.888928,-0.523419,0.612585,Fast
148,2,bicycle,2.978106,2.994772,0.006692,0.006787,0.884659,-0.516923,0.610131,Fast
149,2,bicycle,2.994772,3.011439,0.006691,0.006446,0.885324,-0.517944,0.610541,Slow
0,1,bicycle,2.996333,3.007444,0.006299,0.006113,-0.209328,0.929256,0.234123,Slow
1,1,bicycle,3.007444,3.018555,0.006299,0.006294,-0.209347,0.929302,0.234093,Slow
150,2,bicycle,3.011439,3.028106,0.006691,0.00675,0.885752,-0.518598,0.610804,Slow
2,1,bicycle,3.018555,3.029666,0.006298,0.005885,-0.209341,0.929321,0.234065,Slow
0,3,bicycle,3.026979,3.060312,0.007872,0.007864,0.692738,-0.176952,0.45875,Slow
151,2,bicycle,3.028106,3.044772,0.006691,0.00662,0.887128,-0.520691,0.611589,Slow
3,1,bicycle,3.029666,3.040777,0.006299,0.006212,-0.209253,0.929138,0.234168,Slow
4,1,bicycle,3.040777,3.051888,0.006299,0.006038,-0.209148,0.928933,0.234277,Slow
152,2,bicycle,3.044772,3.061439,0.006692,0.006632,0.887843,-0.52178,0.611992,Slow
5,1,bicycle,3.051888,3.063,0.006299,0.005789,-0.209265,0.929149,0.234168,Slow
1,3,bicycle,3.060312,3.093645,0.007872,0.007825,0.692512,-0.176679,0.458698,Slow
153,2,bicycle,3.061439,3.078106,0.006692,0.006733,0.889102,-0.523701,0.612724,Slow
6,1,bicycle,3.063,3.074111,0.006299,0.006418,-0.209176,0.928968,0.23427,Slow
7,1,bicycle,3.074111,3.085222,0.006299,0.00666,-0.209114,0.928849,0.234332,Slow
154,2,bicycle,3.078106,3.094772,0.006691,0.006657,0.889765,-0.52471,0.613118,Slow
8,1,bicycle,3.085222,3.096333,0.006299,0.006547,-0.209158,0.928958,0.234262,Slow
2,3,bicycle,3.093645,3.126979,0.007871,0.007846,0.692004,-0.176055,0.458565,Slow
155,2,bicycle,3.094772,3.111439,0.006692,0.006748,0.890007,-0.525073,0.613242,Slow
9,1,bicycle,3.096333,3.107444,0.006299,0.006449,-0.209278,0.92917,0.23416,Slow
10,1,bicycle,3.107444,3.118555,0.006299,0.006208,-0.209364,0.929335,0.234075,Slow
156,2,bicycle,3.111439,3.128106,0.006692,0.006688,0.888309,-0.522485,0.612253,Slow
11,1,bicycle,3.118555,3.129666,0.006299,0.006476,-0.209401,0.929422,0.23402,Slow
3,3,bicycle,3.126979,3.160312,0.007871,0.007845,0.691555,-0.175414,0.45835,Slow
157,2,bicycle,3.128106,3.144772,0.006692,0.006708,0.887181,-0.520771,0.61161,Slow
12,1,bicycle,3.129666,3.140777,0.006298,0.006566,-0.209368,0.929384,0.234025,Slow
13,1,bicycle,3.140777,3.151888,0.006299,0.006329,-0.209359,0.92935,0.234053,Slow
158,2,bicycle,3.144772,3.161439,0.006692,0.006646,0.885774,-0.518621,0.610773,Slow
14,1,bicycle,3.151888,3.163,0.006299,0.006039,-0.209435,0.929474,0.234002,Slow
4,3,bicycle,3.160312,3.193645,0.007872,0.007938,0.691997,-0.175956,0.458463,Slow
159,2,bicycle,3.161439,3.178106,0.006693,0.006593,0.886163,-0.519207,0.610978,Slow
15,1,bicycle,3.163,3.174111,0.006299,0.006189,-0.209462,0.929534,0.233965,Slow
16,1,bicycle,3.174111,3.185222,0.006299,0.006672,-0.209472,0.929578,0.233929,Slow
160,2,bicycle,3.178106,3.194772,0.006692,0.006623,0.887236,-0.52084,0.611602,Slow
17,1,bicycle,3.185222,3.196333,0.006298,0.006282,-0.209508,0.929674,0.233864,Slow
5,3,bicycle,3.193645,3.226979,0.007871,0.007847,0.691246,-0.174949,0.458173,Slow
161,2,bicycle,3.194772,3.211439,0.006693,0.006683,0.886129,-0.519149,0.610944,Slow
18,1,bicycle,3.196333,3.207444,0.006059,0.005826,-0.150008,0.837188,0.268126,Slow
19,1,bicycle,3.207444,3.218555,0.006298,0.005976,-0.209504,0.929686,0.233848,Slow
162,2,bicycle,3.211439,3.228106,0.006693,0.006866,0.887365,-0.521033,0.611661,Slow
20,1,bicycle,3.218555,3.229666,0.006299,0.006206,-0.209538,0.929723,0.233846,Slow
6,3,bicycle,3.226979,3.260312,0.007871,0.008006,0.690652,-0.174146,0.457937,Slow
163,2,bicycle,3.228106,3.244772,0.006693,0.006832,0.88723,-0.520829,0.611576,Slow
21,1,bicycle,3.229666,3.240777,0.006299,0.006526,-0.209441,0.929556,0.233923,Slow
22,1,bicycle,3.240777,3.251888,0.006299,0.006239,-0.209358,0.92939,0.234013,Slow
164,2,bicycle,3.244772,3.261439,0.006694,0.006633,0.885847,-0.518714,0.610754,Slow
23,1,bicycle,3.251888,3.263,0.006059,0.006133,-0.14968,0.836608,0.268399,Slow
7,3,bicycle,3.260312,3.293645,0.007872,0.0079,0.691467,-0.175232,0.458245,Slow
165,2,bicycle,3.261439,3.278106,0.006694,0.006699,0.88755,-0.521311,0.611747,Slow
24,1,bicycle,3.263,3.274111,0.006059,0.006022,-0.149547,0.836408,0.268473,Slow
25,1,bicycle,3.274111,3.285222,0.006059,0.005921,-0.149582,0.836502,0.268411,Slow
166,2,bicycle,3.278106,3.294772,0.006694,0.006667,0.888777,-0.523179,0.612448,Slow
26,1,bicycle,3.285222,3.296333,0.006059,0.006024,-0.149601,0.836569,0.268361,Slow
8,3,bicycle,3.293645,3.326979,0.007872,0.007789,0.691761,-0.175609,0.458341,Slow
167,2,bicycle,3.294772,3.311439,0.006694,0.006707,0.890471,-0.52576,0.61343,Slow
27,1,bicycle,3.296333,3.307444,0.006059,0.006083,-0.149415,0.836248,0.268508,Slow
28,1,bicycle,3.307444,3.318555,0.006059,0.006077,-0.149377,0.836219,0.2685,Slow
168,2,bicycle,3.311439,3.328106,0.006694,0.006719,0.889258,-0.523915,0.612734,Slow
29,1,bicycle,3.318555,3.329666,0.006059,0.005971,-0.149299,0.836116,0.268529,Slow
9,3,bicycle,3.326979,3.360312,0.007872,0.007864,0.692413,-0.176472,0.458578,Slow
169,2,bicycle,3.328106,3.344772,0.006694,0.006744,0.889208,-0.523846,0.61273,Slow
30,1,bicycle,3.329666,3.340777,0.006058,0.006034,-0.149148,0.835873,0.26863,Slow
31,1,bicycle,3.340777,3.351888,0.006059,0.006247,-0.149269,0.836066,0.26855,Slow
170,2,bicycle,3.344772,3.361439,0.006694,0.00642,0.88922,-0.523863,0.612725,Slow
32,1,bicycle,3.351888,3.363,0.006059,0.005972,-0.14923,0.835982,0.268598,Slow
10,3,bicycle,3.360312,3.393645,0.007872,0.007829,0.692692,-0.176904,0.458751,Slow
171,2,bicycle,3.361439,3.378106,0.006695,0.00673,0.889827,-0.524789,0.61307,Slow
33,1,bicycle,3.363,3.374111,0.006059,0.006105,-0.149212,0.83592,0.268645,Slow
34,1,bicycle,3.374111,3.385222,0.006059,0.005912,-0.14936,0.836167,0.268536,Slow
172,2,bicycle,3.378106,3.394772,0.006694,0.006656,0.891188,-0.526867,0.613881,Slow
35,1,bicycle,3.385222,3.396333,0.006059,0.006119,-0.149201,0.835894,0.26866,Slow
11,3,bicycle,3.393645,3.426979,0.007872,0.007729,0.69258,-0.17669,0.458638,Slow
173,2,bicycle,3.394772,3.411439,0.006694,0.006627,0.891972,-0.528068,0.614347,Slow
36,1,bicycle,3.396333,3.407444,0.006058,0.005996,-0.14916,0.835841,0.268675,Slow
37,1,bicycle,3.407444,3.418555,0.006058,0.006087,-0.149016,0.835595,0.268786,Slow
174,2,bicycle,3.411439,3.428106,0.006695,0.00677,0.891412,-0.527216,0.614018,Slow
38,1,bicycle,3.418555,3.429666,0.006058,0.005968,-0.148868,0.835366,0.268874,Slow
12,3,bicycle,3.426979,3.460312,0.007872,0.007977,0.692815,-0.176949,0.458667,Slow
175,2,bicycle,3.428106,3.444772,0.006695,0.006835,0.891364,-0.527145,0.613986,Slow
39,1,bicycle,3.429666,3.440777,0.006058,0.006078,-0.14874,0.835142,0.26898,Slow
40,1,bicycle,3.440777,3.451888,0.006058,0.005994,-0.148708,0.83506,0.269033,Slow
176,2,bicycle,3.444772,3.461439,0.006696,0.006761,0.890881,-0.52641,0.613703,Slow
41,1,bicycle,3.451888,3.463,0.006058,0.006008,-0.148674,0.835,0.269061,Slow
13,3,bicycle,3.460312,3.493645,0.007872,0.007918,0.692944,-0.17712,0.458715,Slow
177,2,bicycle,3.461439,3.478106,0.006826,0.006754,0.854367,-0.465685,0.59203,Slow
42,1,bicycle,3.463,3.474111,0.006058,0.006089,-0.148624,0.834888,0.269127,Slow
43,1,bicycle,3.474111,3.485222,0.006058,0.006028,-0.148608,0.834838,0.269162,Slow
178,2,bicycle,3.478106,3.494772,0.006696,0.006594,0.89072,-0.526163,0.613607,Slow
44,1,bicycle,3.485222,3.496333,0.006058,0.006085,-0.14853,0.834678,0.26925,Slow
14,3,bicycle,3.493645,3.526979,0.007872,0.007907,0.692586,-0.176631,0.458569,Slow
179,2,bicycle,3.494772,3.511439,0.006695,0.00641,0.890949,-0.526522,0.613765,Slow
45,1,bicycle,3.496333,3.507444,0.006058,0.006044,-0.148356,0.83439,0.269375,Slow
46,1,bicycle,3.507444,3.518555,0.006058,0.006062,-0.148364,0.83438,0.269394,Slow
180,2,bicycle,3.511439,3.528106,0.006695,0.006712,0.892787,-0.529323,0.614838,Slow
47,1,bicycle,3.518555,3.529666,0.006058,0.006089,-0.148435,0.83451,0.269331,Slow
15,3,bicycle,3.526979,3.560312,0.007872,0.007883,0.691854,-0.175664,0.458301,Slow
181,2,bicycle,3.528106,3.544772,0.006695,0.00675,0.892215,-0.528449,0.614508,Slow
48,1,bicycle,3.529666,3.540777,0.006058,0.006033,-0.148382,0.834399,0.269392,Slow
49,1,bicycle,3.540777,3.551888,0.006058,0.005988,-0.148437,0.834511,0.269331,Slow
182,2,bicycle,3.544772,3.561439,0.006694,0.006684,0.893643,-0.530624,0.615338,Slow
50,1,bicycle,3.551888,3.563,0.006058,0.006021,-0.148602,0.83481,0.269186,Slow
16,3,bicycle,3.560312,3.593645,0.007872,0.007782,0.690989,-0.174506,0.45797,Slow
183,2,bicycle,3.561439,3.578106,0.006695,0.006784,0.893483,-0.530373,0.615217,Slow
51,1,bicycle,3.563,3.574111,0.006058,0.006142,-0.148772,0.835091,0.269064,Slow
52,1,bicycle,3.574111,3.585222,0.006058,0.006066,-0.148723,0.835013,0.269097,Slow
184,2,bicycle,3.578106,3.594772,0.006827,0.006641,0.858261,-0.47154,0.594299,Slow
53,1,bicycle,3.585222,3.596333,0.006058,0.005999,-0.148547,0.834733,0.26921,Slow
17,3,bicycle,3.593645,3.626979,0.007872,0.00784,0.690174,-0.173438,0.457683,Slow
185,2,bicycle,3.594772,3.611439,0.006828,0.006804,0.857695,-0.470627,0.59394,Slow
54,1,bicycle,3.596333,3.607444,0.006058,0.006086,-0.148521,0.83471,0.269209,Slow
55,1,bicycle,3.607444,3.618555,0.006058,0.006091,-0.148656,0.834949,0.269096,Slow
186,2,bicycle,3.611439,3.628106,0.006828,0.006792,0.857032,-0.469665,0.59357,Slow
56,1,bicycle,3.618555,3.629666,0.006058,0.006094,-0.148474,0.834657,0.269216,Slow
18,3,bicycle,3.626979,3.660312,0.007871,0.007926,0.689364,-0.172377,0.457398,Slow
187,2,bicycle,3.628106,3.644772,0.006827,0.006812,0.856054,-0.468188,0.592997,Slow
57,1,bicycle,3.629666,3.640777,0.006058,0.005989,-0.148434,0.834612,0.269223,Slow
58,1,bicycle,3.640777,3.651888,0.006058,0.00601,-0.148299,0.834367,0.269342,Slow
188,2,bicycle,3.644772,3.661439,0.006828,0.006993,0.857706,-0.47068,0.593964,Slow
59,1,bicycle,3.651888,3.663,0.006058,0.00601,-0.148125,0.834066,0.269481,Slow
19,3,bicycle,3.660312,3.693645,0.007871,0.007803,0.689232,-0.172221,0.457372,Slow
189,2,bicycle,3.661439,3.678106,0.006828,0.006813,0.859267,-0.47304,0.594879,Slow
60,1,bicycle,3.663,3.674111,0.006058,0.006032,-0.148196,0.834213,0.2694,Slow
61,1,bicycle,3.674111,3.685222,0.006057,0.006095,-0.148124,0.834123,0.26942,Slow
190,2,bicycle,3.678106,3.694772,0.006828,0.006786,0.858027,-0.471172,0.594155,Slow
62,1,bicycle,3.685222,3.696333,0.006057,0.006078,-0.14794,0.83382,0.269551,Slow
20,3,bicycle,3.693645,3.726979,0.007871,0.007707,0.689949,-0.173173,0.457639,Slow
191,2,bicycle,3.694772,3.711439,0.006827,0.006695,0.858067,-0.47125,0.594187,Slow
63,1,bicycle,3.696333,3.707444,0.006058,0.006084,-0.148139,0.834161,0.269396,Slow
64,1,bicycle,3.707444,3.718555,0.006058,0.006152,-0.148319,0.834479,0.269246,Slow
192,2,bicycle,3.711439,3.728106,0.006695,0.006822,0.892794,-0.529316,0.614805,Slow
65,1,bicycle,3.718555,3.729666,0.006058,0.006106,-0.148251,0.834334,0.269328,Slow
21,3,bicycle,3.726979,3.760312,0.007872,0.007857,0.690626,-0.174041,0.457857,Slow
193,2,bicycle,3.728106,3.744772,0.006695,0.006558,0.894712,-0.532241,0.615922,Slow
66,1,bicycle,3.729666,3.740777,0.006057,0.006048,-0.148099,0.834059,0.269461,Slow
